County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Crosby,218,24.22%,311,34.56%,161,17.89%,106,11.78%,46,5.11%,28,3.11%,0,0.00%,1,0.11%,1,0.11%,1,0.11%,0,0.00%,2,0.22%,6,0.67%,3,0.33%,6,0.67%,3,0.33%,3,0.33%,2,0.22%,0,0.00%,2,0.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,900,2
Culberson,86,28.86%,78,26.17%,19,6.38%,41,13.76%,25,8.39%,27,9.06%,3,1.01%,1,0.34%,0,0.00%,1,0.34%,1,0.34%,0,0.00%,1,0.34%,0,0.00%,5,1.68%,1,0.34%,4,1.34%,3,1.01%,0,0.00%,0,0.00%,1,0.34%,0,0.00%,1,0.34%,0,0.00%,298,1
Dallam,210,30.30%,146,21.07%,90,12.99%,172,24.82%,24,3.46%,20,2.89%,2,0.29%,1,0.14%,0,0.00%,0,0.00%,2,0.29%,4,0.58%,10,1.44%,3,0.43%,5,0.72%,2,0.29%,1,0.14%,0,0.00%,1,0.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,693,1
Dallas,77704,35.50%,57116,26.09%,43706,19.97%,9906,4.53%,20952,9.57%,4027,1.84%,153,0.07%,208,0.10%,834,0.38%,382,0.17%,146,0.07%,420,0.19%,786,0.36%,381,0.17%,336,0.15%,336,0.15%,278,0.13%,201,0.09%,320,0.15%,148,0.07%,157,0.07%,51,0.02%,156,0.07%,182,0.08%,218886,1
Dawson,565,30.61%,290,15.71%,296,16.03%,374,20.26%,55,2.98%,191,10.35%,2,0.11%,3,0.16%,5,0.27%,0,0.00%,3,0.16%,0,0.00%,11,0.60%,6,0.33%,13,0.70%,12,0.65%,9,0.49%,1,0.05%,2,0.11%,0,0.00%,0,0.00%,0,0.00%,8,0.43%,0,0.00%,1846,1
Deaf Smith,635,36.66%,308,17.78%,245,14.15%,348,20.09%,63,3.64%,64,3.70%,0,0.00%,3,0.17%,1,0.06%,1,0.06%,2,0.12%,3,0.17%,22,1.27%,4,0.23%,12,0.69%,2,0.12%,3,0.17%,1,0.06%,4,0.23%,1,0.06%,5,0.29%,2,0.12%,1,0.06%,2,0.12%,1732,1
Delta,204,23.48%,364,41.89%,115,13.23%,46,5.29%,107,12.31%,9,1.04%,0,0.00%,3,0.35%,2,0.23%,1,0.12%,0,0.00%,0,0.00%,6,0.69%,0,0.00%,4,0.46%,2,0.23%,0,0.00%,2,0.23%,0,0.00%,0,0.00%,0,0.00%,4,0.46%,0,0.00%,0,0.00%,869,2
Denton,10947,35.61%,6372,20.73%,6956,22.63%,2035,6.62%,2648,8.61%,275,0.89%,28,0.09%,24,0.08%,136,0.44%,18,0.06%,26,0.08%,82,0.27%,555,1.81%,32,0.10%,64,0.21%,101,0.33%,168,0.55%,34,0.11%,10,0.03%,36,0.12%,27,0.09%,16,0.05%,66,0.21%,86,0.28%,30742,1
DeWitt,875,35.27%,611,24.63%,190,7.66%,603,24.30%,117,4.72%,37,1.49%,2,0.08%,0,0.00%,5,0.20%,0,0.00%,1,0.04%,1,0.04%,13,0.52%,9,0.36%,5,0.20%,1,0.04%,3,0.12%,3,0.12%,3,0.12%,0,0.00%,0,0.00%,0,0.00%,1,0.04%,1,0.04%,2481,1
Dickens,146,21.50%,270,39.76%,53,7.81%,114,16.79%,43,6.33%,15,2.21%,2,0.29%,0,0.00%,0,0.00%,2,0.29%,0,0.00%,0,0.00%,12,1.77%,0,0.00%,2,0.29%,2,0.29%,15,2.21%,0,0.00%,3,0.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,679,2
Dimmit,206,13.73%,758,50.53%,47,3.13%,142,9.47%,59,3.93%,218,14.53%,11,0.73%,0,0.00%,2,0.13%,3,0.20%,3,0.20%,3,0.20%,5,0.33%,4,0.27%,8,0.53%,2,0.13%,6,0.40%,2,0.13%,10,0.67%,2,0.13%,1,0.07%,1,0.07%,2,0.13%,5,0.33%,1500,2
Donley,224,31.91%,170,24.22%,60,8.55%,161,22.93%,43,6.13%,3,0.43%,1,0.14%,1,0.14%,3,0.43%,0,0.00%,0,0.00%,0,0.00%,14,1.99%,2,0.28%,9,1.28%,2,0.28%,0,0.00%,1,0.14%,3,0.43%,2,0.28%,1,0.14%,0,0.00%,2,0.28%,0,0.00%,702,1
Duval,126,7.32%,1092,63.45%,61,3.54%,51,2.96%,45,2.61%,131,7.61%,9,0.52%,4,0.23%,0,0.00%,5,0.29%,3,0.17%,2,0.12%,19,1.10%,6,0.35%,62,3.60%,14,0.81%,14,0.81%,53,3.08%,1,0.06%,12,0.70%,0,0.00%,4,0.23%,2,0.12%,5,0.29%,1721,2
Eastland,870,28.88%,877,29.12%,350,11.62%,560,18.59%,271,9.00%,13,0.43%,4,0.13%,1,0.03%,4,0.13%,3,0.10%,2,0.07%,0,0.00%,6,0.20%,3,0.10%,20,0.66%,3,0.10%,14,0.46%,1,0.03%,1,0.03%,2,0.07%,0,0.00%,1,0.03%,2,0.07%,4,0.13%,3012,2
Ector,2399,25.48%,1536,16.31%,2378,25.25%,1879,19.96%,673,7.15%,130,1.38%,3,0.03%,12,0.13%,20,0.21%,6,0.06%,18,0.19%,9,0.10%,171,1.82%,8,0.08%,34,0.36%,26,0.28%,12,0.13%,9,0.10%,15,0.16%,23,0.24%,2,0.02%,33,0.35%,11,0.12%,9,0.10%,9416,1
Edwards,85,23.88%,61,17.13%,77,21.63%,75,21.07%,19,5.34%,1,0.28%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.28%,1,0.28%,34,9.55%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,356,1
Ellis,2094,17.70%,2738,23.14%,5264,44.49%,431,3.64%,1009,8.53%,59,0.50%,8,0.07%,1,0.01%,26,0.22%,7,0.06%,11,0.09%,22,0.19%,28,0.24%,13,0.11%,30,0.25%,16,0.14%,10,0.08%,38,0.32%,1,0.01%,2,0.02%,5,0.04%,8,0.07%,7,0.06%,4,0.03%,11832,3
El Paso,9735,20.85%,18179,38.94%,1783,3.82%,2797,5.99%,4026,8.62%,3830,8.20%,55,0.12%,121,0.26%,114,0.24%,61,0.13%,81,0.17%,191,0.41%,2450,5.25%,253,0.54%,771,1.65%,709,1.52%,106,0.23%,49,0.10%,38,0.08%,1184,2.54%,59,0.13%,19,0.04%,46,0.10%,29,0.06%,46686,2
Erath,1103,31.95%,1149,33.29%,520,15.06%,175,5.07%,390,11.30%,37,1.07%,4,0.12%,0,0.00%,10,0.29%,1,0.03%,8,0.23%,1,0.03%,11,0.32%,4,0.12%,15,0.43%,7,0.20%,6,0.17%,1,0.03%,1,0.03%,1,0.03%,4,0.12%,1,0.03%,2,0.06%,1,0.03%,3452,2
